15683
I||
IOOI|34952,35054,61166|2;;;3,5
ISJL|4369,5593,3545|3;1,5,3;1,5,4;3,5,4
ISLJ|4369,4567,23|3;4,5;4,5;1,5,4
ISLJ|4369,5593,23|3;1,5,3;3,5,4;1,5,4
ISLJ|34952,35051,139|2;;4;4
ISLL|4369,4981,29|3;2,5;1,5,3,1,5;4,5
ISLL|34952,35258,142|2;2;3,1,5;4
ISTL|4369,4567,887|3;4,5;1,5,2;3,1,5
ISTL|34952,35051,2491|2;;2;1,3,5
ITIJ|4369,5493,2525|3;2,5,4;2,5;2,5
ITIJ|4369,6617,955|3;1,5,3;3,5;1,2,5
ITIJ|8738,10986,955|3,4;3,1,5;3,5;1,2,5
ITIJ|17476,18038,3310|2,0;3,5;3,3,5,3,5;2,0,5
ITIJ|34952,35514,3310|2;2,4;2,5;2,0,5
ITIJ|34952,36076,2525|2;3;2,5;2,5
ITIL|4369,4979,2491|3;2,5;3,5;1,3,5
ITIL|4369,5589,887|3;2,5,1;3,5;3,1,5
ITIL|8738,9958,887|3,4;1,2,5;3,5;3,1,5
ITIL|17476,17781,3293|2,0;2,0,5;2,5;3,5
ITIL|34952,35257,3293|2;2;2,5;3,5
ITIL|34952,35562,2491|2;2,1;3,5;1,3,5
ITJL|4369,277,29|3;1,5;1,5,4;4,5
ITJL|34952,2186,142|2;;4;4
ITJT|4369,6617,27|3;1,5,3;2,5;1,5,4
ITJT|34952,36076,141|2;3;2,0,5;4
ITLJ|4369,277,23|3;1,5;4,5;1,5,4
ITLJ|34952,2186,139|2;;4;4
ITLT|4369,4979,27|3;2,5;1,5,3,1,5;1,5,4
ITLT|34952,35257,141|2;2;3,1,5;4
ITSL|4369,6617,3545|3;1,5,3;1,5,4;3,5,4
ITTJ|4369,277,2525|3;1,5;1,5,3;2,5
ITTJ|34952,2186,3310|2;;3;2,0,5
ITTJ|34952,35257,3001|2;2;4;1,2,5,4
ITTL|4369,277,887|3;1,5;1,5,2;3,1,5
ITTL|4369,6617,3545|3;1,5,3;1,5,4;3,5,4
ITTL|34952,2186,2491|2;;2;1,3,5
ITTS|4369,6617,57|3;1,5,3;2,5;4
ITTS|34952,36076,156|2;3;2,0,5;1,5,4
ITTZ|4369,4979,147|3;2,5;1,5,3,1,5;4
ITTZ|34952,35257,201|2;2;3,1,5;1,4
ITZJ|34952,35257,3001|2;2;4;1,2,5,4
IZJJ|4369,6613,23|3;1,5,3;2,5;1,5,4
